ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
0.00052519,0.00031583,0.0011732,-0.00015566,6.97E-05,25:05.9
0.0017643,0.00053822,0.0029022,-0.00065789,-0.00029286,25:05.9
0.0011259,0.00034942,0.0016184,-0.00034077,-0.00013131,25:06.0
0.0015265,0.00044809,0.0025242,-0.00053345,-0.00023993,25:06.0
0.0011819,0.00039468,0.0022505,-0.00038134,-0.00011433,25:06.0
0.00092182,0.0003838,0.0023291,-0.00028765,-4.10E-05,25:06.0
0.00086736,0.00041893,0.0026484,-0.00028373,-1.59E-05,25:06.0
0.00069759,0.00039353,0.0024806,-0.00019296,5.65E-05,25:06.0
0.00089939,0.00042316,0.0027814,-0.00027679,-1.20E-05,25:06.0
0.001061,0.00042241,0.0027626,-0.00033734,-9.73E-05,25:06.0
0.0013486,0.00041265,0.0028462,-0.00041101,-0.00020477,25:06.0
0.0015952,0.00039882,0.003029,-0.00047697,-0.00029082,25:06.0
0.0016433,0.00040323,0.0031217,-0.00049649,-0.0003273,25:06.0
0.0016254,0.00043441,0.0033708,-0.00049658,-0.00032882,25:06.0
0.0014189,0.00044646,0.0035457,-0.00041961,-0.00026526,25:06.0
0.0012061,0.00046247,0.0037958,-0.00035072,-0.00020916,25:06.0
0.0010382,0.0004752,0.0040378,-0.00030176,-0.00016452,25:06.0
0.00094765,0.00048728,0.0041823,-0.00027538,-0.00014967,25:06.0
0.001041,0.00050739,0.0043306,-0.00031381,-0.0001997,25:06.0
0.0012524,0.00053197,0.0044452,-0.0003898,-0.00026715,25:06.0
0.0015106,0.00054634,0.0045498,-0.00047556,-0.00035625,25:06.0
0.0017071,0.00053823,0.004626,-0.00054426,-0.00045444,25:06.0
0.0017676,0.00054098,0.0047379,-0.00056307,-0.00048987,25:06.0
0.0016614,0.00055389,0.0049247,-0.00052095,-0.00046887,25:06.0
0.0014324,0.00055609,0.0051033,-0.00045663,-0.00041332,25:06.0
0.0011603,0.0005586,0.005291,-0.00037781,-0.0003165,25:06.0
0.00089314,0.00056981,0.0055003,-0.00028973,-0.00024037,4/7/2021 16:25
0.00080889,0.00057895,0.0056807,-0.0002614,-0.00022995,25:06.0
0.00092202,0.00057819,0.0058169,-0.00028867,-0.00026284,25:06.0
0.0010642,0.00058387,0.0059648,-0.00033578,-0.00033271,25:06.0
0.0012748,0.00059688,0.0061391,-0.00041207,-0.00042984,25:06.0
0.001493,0.00060356,0.0062804,-0.00047279,-0.00051389,25:06.0
0.0015288,0.00060637,0.0064359,-0.00047776,-0.00054205,25:06.0
0.0014142,0.00060099,0.006609,-0.00044222,-0.00050929,25:06.0
0.0012004,0.00059008,0.0067581,-0.00035926,-0.00043722,25:06.0
0.00090963,0.00058809,0.0069406,-0.00025319,-0.00034177,25:06.0
0.00069184,0.00058373,0.0071209,-0.00017707,-0.00025941,25:06.0
0.00062734,0.00056398,0.0072592,-0.00013833,-0.00022976,25:06.0
0.00066841,0.00054078,0.0073781,-0.00015524,-0.00026176,25:06.0
0.00083418,0.00051796,0.0074643,-0.0002218,-0.00033145,25:06.0
0.0010989,0.00049229,0.0075331,-0.00028927,-0.00040814,25:06.0
0.0013054,0.00046879,0.0076045,-0.00034252,-0.0004772,25:06.0
0.0013765,0.00044336,0.0076837,-0.00035807,-0.00050339,25:06.0
0.001279,0.00041799,0.0077803,-0.00031334,-0.00047399,25:06.0
0.0010437,0.00040497,0.0078886,-0.00023862,-0.00040779,25:06.0
0.00081495,0.00039435,0.0079832,-0.00016492,-0.00031656,25:06.0
0.00062143,0.00037522,0.0080518,-9.79E-05,-0.00024665,25:06.0
0.00052041,0.00036015,0.0080951,-6.79E-05,-0.00022727,25:06.0
0.0006242,0.00035018,0.0081029,-0.00010191,-0.00025793,25:06.0
0.00084997,0.00033553,0.0080947,-0.00016916,-0.0003299,25:06.0
0.0011118,0.00031749,0.0080915,-0.00025142,-0.00041979,25:06.0
0.0013538,0.00029059,0.0080864,-0.00033169,-0.00051122,25:06.0
0.001456,0.00025752,0.0080966,-0.00035517,-0.00054313,25:06.1
0.0013817,0.00024098,0.0081327,-0.00032567,-0.00050437,25:06.1
