ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
-0.036633,-0.00032726,0.011026,0.012079,0.011707,23:05.2
-0.050022,-1.22E-05,0.012225,0.015107,0.016303,23:05.2
-0.039019,0.00091179,0.011334,0.01319,0.013302,23:05.2
-0.044876,0.0019814,0.012076,0.014811,0.015871,23:05.2
-0.041787,0.0025692,0.01184,0.014223,0.015256,23:05.2
-0.04169,0.0025978,0.011669,0.013841,0.015232,23:05.2
-0.043721,0.0020938,0.011504,0.013579,0.015556,23:05.2
-0.042025,0.001567,0.011034,0.012615,0.014622,23:05.2
-0.043569,0.0013679,0.011036,0.012518,0.014969,23:05.2
-0.042375,0.0013896,0.010958,0.012043,0.01463,23:05.2
-0.042032,0.0015232,0.011052,0.01198,0.014647,23:05.2
-0.042166,0.0015009,0.011114,0.011985,0.014721,23:05.2
-0.041275,0.0014974,0.011057,0.011852,0.01449,23:05.2
-0.04123,0.0018424,0.011168,0.012046,0.014763,23:05.2
-0.040537,0.0019133,0.011135,0.011929,0.014633,23:05.2
-0.040447,0.0016076,0.011056,0.011948,0.014503,23:05.2
-0.040025,0.0015651,0.01098,0.012106,0.01449,23:05.2
-0.039458,0.0015616,0.010785,0.01222,0.014403,23:05.2
-0.0396,0.0012693,0.010562,0.012293,0.01428,23:05.2
-0.039604,0.00082123,0.010381,0.012152,0.013953,23:05.2
-0.039311,0.0010133,0.010482,0.012279,0.013888,23:05.2
-0.038314,0.0020308,0.010851,0.012685,0.014131,23:05.2
-0.03782,0.0025359,0.011035,0.012899,0.014272,23:05.2
-0.03835,0.0021475,0.010933,0.0128,0.014101,23:05.2
-0.039412,0.0010646,0.010582,0.012416,0.013622,23:05.2
-0.040631,-0.000197,0.010171,0.012124,0.01326,23:05.2
-0.041076,-0.00068163,0.010046,0.012093,0.013114,23:05.2
-0.041042,-0.00067236,0.010101,0.012119,0.013044,23:05.2
-0.040748,-0.00029029,0.010317,0.012311,0.01322,23:05.2
-0.04052,0.00019866,0.010581,0.012569,0.013457,23:05.2
-0.040766,0.00032731,0.01073,0.012762,0.013636,23:05.2
-0.041044,0.00048795,0.010926,0.012993,0.013888,23:05.2
-0.041557,0.00048041,0.011028,0.013128,0.014014,23:05.2
-0.041651,0.00073454,0.01119,0.01332,0.014199,23:05.3
-0.040837,0.0017123,0.011595,0.013675,0.014592,23:05.3
-0.040344,0.0022414,0.011797,0.013815,0.014764,23:05.3
-0.040556,0.001852,0.011697,0.013655,0.014602,23:05.3
-0.04115,0.0010334,0.011413,0.01333,0.01423,23:05.3
-0.041686,0.00021909,0.011049,0.013001,0.013806,23:05.3
-0.041791,-0.00024658,0.010834,0.012833,0.013587,23:05.3
-0.041741,-0.00031621,0.010757,0.012796,0.013557,23:05.3
-0.041548,-9.22E-05,0.010771,0.012849,0.013609,23:05.3
-0.041313,0.00017194,0.010845,0.012946,0.013722,23:05.3
-0.041232,0.00031215,0.010872,0.01299,0.013774,23:05.3
-0.041109,0.00038641,0.010905,0.013007,0.01378,23:05.3
-0.040991,0.0005946,0.011095,0.013123,0.013931,23:05.3
-0.040736,0.00091981,0.011269,0.013207,0.014019,23:05.3
-0.040275,0.00096156,0.01118,0.013039,0.013829,23:05.3
-0.040028,0.00077743,0.011035,0.012826,0.013667,23:05.3
-0.039993,0.00068685,0.010969,0.012756,0.01362,23:05.3
-0.040036,0.00065758,0.010894,0.012769,0.013589,23:05.3
-0.040203,0.00063268,0.010843,0.012826,0.01365,23:05.3
-0.040522,0.00067924,0.010878,0.01295,0.013815,23:05.3
-0.040928,0.00078412,0.010954,0.013117,0.014001,23:05.3
-0.041177,0.0007885,0.010946,0.013161,0.01408,23:05.3
-0.041325,0.0008272,0.010999,0.01317,0.014156,23:05.3
-0.041459,0.00084284,0.01107,0.013144,0.014197,23:05.3
-0.041471,0.00047798,0.010856,0.012844,0.013956,23:05.3
-0.04133,0.00020469,0.010651,0.012598,0.013727,23:05.3
-0.041257,0.00020542,0.010617,0.012585,0.013697,23:05.3
