ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
5.08E-06,4.75E-05,-4.06E-05,0.00035939,-0.00010725,21:15.5
0.00012216,0.00025775,-9.05E-05,0.00041104,-2.87E-05,21:15.5
0.00021374,0.00046541,-0.0001976,0.00029645,8.65E-05,21:15.5
0.00026201,0.00066307,-0.00023078,0.00023315,0.0001916,21:15.5
0.00035304,0.00088913,-0.00026223,8.01E-06,0.00034203,21:15.5
0.00045973,0.0010986,-0.00024515,-0.00020506,0.00045691,21:15.5
0.00054721,0.0012445,-0.00022609,-0.00038787,0.00052883,21:15.5
0.00070155,0.0013659,-0.00024264,-0.00063195,0.00057781,21:15.5
0.00090782,0.0014414,-0.00023018,-0.00083357,0.00057902,21:15.5
0.0011181,0.001437,-0.00020741,-0.00097493,0.00053948,21:15.5
0.0012459,0.0013194,-0.00018964,-0.001109,0.00047485,21:15.5
0.0012735,0.0012115,-0.00019421,-0.0012407,0.00043158,21:15.5
0.0012692,0.0010865,-0.00019738,-0.0012624,0.000412,21:15.5
0.0010929,0.00074723,-0.00016077,-0.0011795,0.00038789,21:15.5
0.00071883,0.00041001,-0.00022228,-0.0010054,0.00039277,21:15.5
0.0002905,0.00018326,-0.00039456,-0.00073304,0.00043438,21:15.5
-9.85E-05,-3.22E-05,-0.00046129,-0.00052891,0.00045163,21:15.5
-0.00027187,-0.00013825,-0.00041576,-0.00041453,0.00039436,21:15.5
-0.0002333,-0.00016644,-0.0003626,-0.00033475,0.00028661,21:15.5
-0.00012136,-0.00014199,-0.00028938,-0.0003039,0.00018669,21:15.6
1.89E-05,-6.82E-05,-0.0002236,-0.00027133,0.00010902,21:15.6
9.77E-05,-5.92E-05,-0.0001814,-0.00023196,4.06E-05,21:15.6
9.93E-05,-6.76E-05,-0.00012481,-0.00018936,-6.28E-06,21:15.6
7.87E-05,-3.36E-05,-6.43E-05,-0.00013995,-7.57E-06,21:15.6
5.09E-05,9.01E-06,-2.07E-06,-9.48E-05,1.32E-05,21:15.6
